u(x),N(x)
0.11020374,6.036724
0.14910746,4.7949905
0.20242,3.9227605
0.26251984,3.2870812
0.32939577,2.8077836
0.40013933,2.4356003
0.47253346,2.1386487
0.5455737,1.8959317
0.6189387,1.6935863
0.6925688,1.5223541
0.7664509,1.3758912
0.84054136,1.2496705
0.9147626,1.1403079
0.98898995,1.0451612
1.0630754,0.96208906
1.1368706,0.88930845
1.2102064,0.8253131
1.2829373,0.76881504
1.3549168,0.71872425
1.4260229,0.6741018
1.4961473,0.6341553
1.5652051,0.59821033
1.6331325,0.56570005
1.699888,0.536149
1.7654538,0.50916004
1.829828,0.48440266
1.893029,0.4615984
1.9550905,0.4405222
2.016061,0.4209833
2.0759974,0.4028244
2.1349635,0.38591003
2.1930327,0.37013292
2.2502682,0.35539055
2.3067408,0.34160614
2.3625128,0.32869864
2.4176345,0.31660795
2.4721482,0.30526447
2.5260787,0.29461908
2.5794463,0.2846117
2.6322472,0.27519417
2.684475,0.26631784
2.7361038,0.25793552
2.7871108,0.25000906
2.8374646,0.24249697
2.8871374,0.23536777
2.936109,0.2285924
2.9843664,0.22214699
3.031915,0.21601152
3.0787687,0.21016979
3.124959,0.20461369
3.170529,0.19932795
3.2155287,0.19430447
3.260012,0.1895361
3.3040366,0.18501234
3.3476505,0.18071651
3.3908968,0.17663574
3.433805,0.17275524
3.4763913,0.16905212
3.518662,0.1655097
3.5606146,0.16210747
3.6022372,0.15882587
3.6435113,0.15565586
3.6844196,0.15257931
3.7249486,0.14959621
3.7650852,0.14670181
3.804823,0.1438961
3.8441632,0.14118767
3.8831139,0.13857937
3.9216857,0.13608074
3.9599,0.13370323
3.997779,0.13144541
4.0353475,0.12931156
4.0726357,0.12730408
4.10967,0.12541819
4.146488,0.123645306
4.183114,0.12197971
4.2195907,0.12041521
4.2559547,0.11895466
4.2922463,0.11759853
4.328525,0.11638117
4.36485,0.115348816
4.401308,0.11459446
4.438003,0.11424589
4.475082,0.11450958
4.5127425,0.11568165
4.551286,0.118169785
4.5911503,0.122555256
4.633009,0.12962866
4.67791,0.14049959
4.7274833,0.15673637
4.784251,0.18063688
4.8520665,0.21569157
4.9367285,0.2673645
5.046775,0.34429646
5.194791,0.46001434
5.400694,0.6358962
5.702178,0.90983105
6.1807055,1.3612516
6.9830623,2.1398568
8.233484,3.3953118
